Sr. No.	Book	Author/Compiler/Editor
1	Andrew's Latin-English Dictionary	Ethen Allen Andrew 
2	Asiatic Researches	[various issues of the journal]
3	Asiatic Society's (Royal) Journal	[various issues of the journal]
4	Catalogue of Sanskṛit MSS. in the Bodlein Library, Oxford	Theodore Aufrecht
5	Catalogue of Sanskṛit MSS. in the Library of Trinity College, Cambridge	Theodore Aufrecht
6	Halāyudha's Vocabulary	Theodore Aufrecht
7	Ṛg-veda-saṃhitā	Theodore Aufrecht
8	Uṇādi-sūtras	Theodore Aufrecht
9	Various lectures on Hindū Philosophy, and translations of some of the Aphorisms	James Ballantyne
10	Translation of the Sāhitya-darpaṇa	James Ballantyne
11	Laghukaumudī	James Ballantyne
12	Hindū Philosophy	K. M. Banerjea 
13	Kumāra-sambhava (with notes)	K. M. Banerjea 
14	Chrestomathie (with vocabulary)	Benfey 
15	Sāma-veda (with vocabulary)	Benfey 
16	Sanskṛit-English Dictionary	Benfey 
17	Sanskṛit Grammar	Benfey 
18	Indische Sprüche	Böhtlingk 
19	Paṇini's Grammar	Böhtlingk 
20	Vopa-deva's Grammar	Böhtlingk 
21	Hemacandra's Glossary	Böhtlingk and Rieu 
22	Mahā-bhārata	Bombay edition
23	Rāmāyaṇa	Bombay edition
24	Bopp's Glossary (first and second editions)	Bopp 
25	Comparative Grammar (Eastwick)	Bopp 
26	Anglo-Saxon Dictionary and Grammar	Dr. J. Bosworth 
27	Kathā-sarit-sāgara	Hermann Brockhaus
28	Translation of the Sūrya-siddhānta	Burgess 
29	Bhāgavata-Purāṇa (books I-III, translated by Burnouf)	Eugène Burnouf
30	Sanskṛit-French Dictionary	Émile Burnaouf
31	Chambers' Encyclopaedia	Chambers 
32	Amara-kosha	Colebrooke 
33	Indian Algebra	Colebrooke 
34	Essays on the Religion and Philosopy of the Hindūs	Colebrooke 
35	Dāya-bhāga	Colebrooke 
36	Mitāksharā	Colebrooke 
37	Kusumāñjali (with translation)	E. B. Cowell 
38	Translation of Vikramorvaśī	E. B. Cowell 
39	Elphinstone's History of India	E. B. Cowell 
40	Grundzüge der Griechischen Etymologie	Georg Curtius
41	Families of Speech	F. W. Farrar 
42	Episodes of the Mahā-bhārata	Ph. Ed. Foucaux 
43	Sanskṛit-English Dictionary (parts I-VI)	Theodor Goldstücker
44	Specimens of Old Indian Poetry	Ralph T. H. Griffith 
45	Sūrya-siddhānta	Fitz-Edward Hall 
46	Contribution towards an Indext to the Bibliography of the Indian Philosophical Systems	Fitz-Edward Hall 
47	Translation of Nīlakaṇṭha's Rational Refutation of the Hindū Philosophical Systems	Fitz-Edward Hall 
48	Sāṅkhya-pravacana-bhāshya	Fitz-Edward Hall 
49	Wilson's Vishṇu-Purāṇa	Fitz-Edward Hall 
50	Bengālī Dictionary	Graves C. Haughton 
51	Aitareya-Brāhmaṇa (with translation)	Martin Haug
52	German Dictionary	J. D. Hilpert 
53	Hitopadeśa (first and second editions, with translation and vocabulary)	Francis Johnson
54	Selections from the Mahā-bhārata (with vocabulary)	Francis Johnson
55	Megha-dūta (1st and 2nd editions, with vocabulary)	Francis Johnson
56	Translation of Manu	Sir William Jones 
*57	Journal of the Royal Asiatic Society	[various issues of the journal]
58	Sanskṛit Anthology (with glossary)	Lassen 
59	Greek-English Lexicon	Liddell and Scott 
60	Infinitiv in Veda	Ludvig 
61	Murathee Dictionary	James T. Molesworth
62	Hindū Pantheon	Moor 
63	Ancient Sanskṛit Literature	Max Müller
64	Chips from a German Workshop	Max Müller
65	Hymns to the Maruts	Max Müller
66	Lectures on the Science of Language	Max Müller
67	Ṛg-veda-saṃhitā	Max Müller
68	Ṛg-veda-prātiśākhya	Max Müller
69	Sanskṛit Grammar	Max Müller
70	Original Sanskṛit Texts (five volumes)	John Muir
71	Indian Antiquities (edited with notes and addenda by Edward Thomas)	James Prinsep [various issues of the journal]
72	Śabda-kalpa-druma	Rādhākānta-deva 
73	Notices of Sanskṛit MSS.	Rājendralāla-Mitra 
74	Étude sur l'idiome des Védas	Regnier 
75	Ṛgveda-prātiśākhya	Regnier 
*76	Hemachandra	(Böhtlingk and) Rieu
77	Upanishads (with translations)	E. Röer
78	Hindū Law	Montriou and Röer
*79	Sanskṛit-Wörterbuch	(Böhtlingk and) Roth
80	Nirukta	Roth 
81	Atharva-veda-saṃhitā	Whitney and Roth
82	Rāmāyaṇa	A. G. Schlegel
*83	Greek-English Lexicon	(Liddell and) Scott 
84	Raghu-vaṃśa	Stenzler 
85	Yājñavalkya	Stenzler 
86	Dhāturūpādarśa	Tārānātha Tarkavācaspati 
87	Bhagavad-gītā (with translation)	J. C. Thompson
88	Gazetteer	Thornton 
89	Rāja-taraṅgiṇī	Troyer 
90	Cleasby's Icelandic Dictionary	G. Vigfusson
91	Vājasaneyi-saṁhitā	Albrecht Weber
92	Śatapatha-Brāhmaṇa	Albrecht Weber
93	Kātyāyana-śrauta-sūtra	Albrecht Weber
94	Indische Studien	Albrecht Weber [various issues of the journal]
95	Indische Streifen	Albrecht Weber [various issues of the journal]
96	Radices Linguæ Sanscritæ	Westergaard 
97	Atharva-veda-prātiśākhya	W. D. Whitney 
*98	Atharva-veda-saṃhitā	(Whitney and) Roth
99	Language and the Study of Language (twelve lectures)	Whitney W. D. 
100	Glossary of Indian Terms	H. H. Wilson 
101	Sanskṛit-English Dictionary	H. H. Wilson 
102	Sanskṛit Grammar	H. H. Wilson 
103	Sāṅkhya-kārikā	H. H. Wilson 
104	Theatre of the Hindūs	H. H. Wilson 
105	Translation of the Ṛg-veda (vols. I-IV)	H. H. Wilson 
106	Translation of the Vishṇu-Purāṇa	H. H. Wilson 
107	Wilson's Sanskṛit Dictionary with addenda (Octavo edition)	W. Yates (partly edited by J. Wenger)
108	Zeitschrift der Deutschen morgenländischen Gesellschaft	[various issues of the journal]
